subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2018,south,3C.2a1,0.4293,-0.30909,0.565765,-0.035008,0.570135,-0.134541,0.58868,-0.937768,0.583221,-0.80262,0.593978,-0.763218,0.603257,-1.431298,0.608593
H3N2,2018,south,3C.2a1b.1,0.050986,-2.958932,0.004748,-0.543601,0.040718,-0.479497,0.049517,-3.645591,0.004619,-1.247922,0.045193,-1.166156,0.047885,-1.934581,0.043696
H3N2,2018,south,3C.2a2,0.149558,-0.498053,0.163162,-0.508091,0.123757,-0.028648,0.227991,-1.182988,0.158995,-0.710912,0.226803,-0.713583,0.220856,-1.395847,0.219671
H3N2,2018,south,3C.2a3,0.17981,-1.769018,0.055036,-0.067106,0.231254,-2.029036,0.037082,-2.410233,0.056028,-2.762517,0.035047,-2.670251,0.037527,-3.403732,0.035462
H3N2,2018,south,3C.3a,0.049286,-0.064146,0.082981,-1.925927,0.009879,-2.3572,0.007321,-0.793287,0.077365,-2.984789,0.007692,-3.086341,0.006785,-3.71393,0.007128
H3N2,2019,north,3C.2a1,0.033562,-1.844311,0.015247,-2.059256,0.00853,-0.488692,0.041456,-2.468615,0.011229,-1.224517,0.040285,-1.31822,0.036777,-2.018419,0.036855
H3N2,2019,north,3C.2a1b.1,0.369184,-1.304479,0.28776,-0.021926,0.719666,-1.209909,0.221696,-0.764546,0.678869,-1.92806,0.219274,-1.681018,0.281452,-2.44878,0.263627
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.1466,0.020818,-0.224148,0.013361,-0.967334,0.006422,-0.934148,0.013022,-1.615399,0.006813,-1.572629,0.007129,-2.241865,0.007369
H3N2,2019,north,3C.2a1b.2,0.292906,-1.4173,0.203947,-1.802553,0.096228,-0.016083,0.580385,-2.261406,0.120557,-0.738129,0.571813,-0.823226,0.526531,-1.515682,0.53176
H3N2,2019,north,3C.2a2,0.135774,-1.144376,0.124204,-3.439986,0.008675,-2.35342,0.025984,-3.501702,0.016167,-3.065774,0.02585,-3.299309,0.020519,-3.943734,0.021743
H3N2,2019,north,3C.2a3,0.021358,-1.324156,0.016323,-0.156874,0.036378,-1.20843,0.012844,-0.935668,0.033096,-1.927271,0.012695,-1.790356,0.014596,-2.535699,0.013982
H3N2,2019,north,3C.3a1,0.11823,-0.023711,0.331701,-0.698493,0.117162,-0.761107,0.111213,-1.301661,0.127059,-1.365347,0.12327,-1.454965,0.112996,-2.059027,0.124665
H3N2,2019,south,3C.2a1,0.028986,-1.504974,0.016922,-1.394487,0.009053,-1.956275,0.005101,-2.220558,0.01564,-2.681261,0.004998,-2.726123,0.00376,-3.431422,0.003953
H3N2,2019,south,3C.2a1b.1,0.155518,-1.003146,0.149963,-1.001863,0.071928,-0.650992,0.100953,-1.707237,0.140209,-1.35789,0.10072,-1.381082,0.077439,-2.078621,0.082045
H3N2,2019,south,3C.2a1b.2,0.010591,-0.977939,0.010473,-1.079542,0.004532,-1.059242,0.004571,-1.684462,0.009768,-1.765124,0.004565,-1.797664,0.003477,-2.492043,0.003695
H3N2,2019,south,3C.2a2,0.695095,-1.059188,0.633735,-0.008336,0.868246,-0.021295,0.846946,-1.661244,0.656164,-0.730403,0.843129,-0.445576,0.882084,-1.212729,0.871698
H3N2,2019,south,3C.2a3,0.017837,-1.383075,0.011763,-2.606525,0.001658,-1.495539,0.004976,-2.1281,0.010557,-2.216418,0.004896,-2.3715,0.003299,-3.044038,0.003584
H3N2,2019,south,3C.3a1,0.068562,-0.017546,0.177144,-0.66113,0.044584,-0.823516,0.037454,-0.709392,0.167662,-1.420887,0.041693,-1.512333,0.029941,-2.110785,0.035025
H3N2,2020,north,3C.2a1b.1,0.038557,-2.025065,0.009603,-3.93136,0.00115,-2.990509,0.002936,-2.7995,0.008717,-3.731853,0.002748,-3.978048,0.001982,-4.639582,0.002061
H3N2,2020,north,3C.2a1b.1a,0.045477,-0.13566,0.07493,-0.984184,0.025844,-0.963365,0.026292,-0.839184,0.07302,-1.60945,0.027069,-1.691517,0.023004,-2.328739,0.024517
H3N2,2020,north,3C.2a1b.1b,0.152249,-0.132473,0.251654,-0.469477,0.144765,-0.452535,0.146704,-0.815428,0.250334,-1.098015,0.151128,-1.112116,0.137468,-1.765879,0.144102
