subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2018,south,3C.2a1,0.4293,-0.646134,0.439068,-0.035008,0.570135,-0.134541,0.58868,-0.669751,0.575894,-0.780675,0.598474,-0.763218,0.603257,-1.409352,0.612853
H3N2,2018,south,3C.2a1b.1,0.050986,-0.766958,0.046211,-0.543601,0.040718,-0.479497,0.049517,-1.329802,0.035349,-1.246454,0.044612,-1.166156,0.047885,-1.933114,0.04311
H3N2,2018,south,3C.2a2,0.149558,-0.672129,0.149036,-0.508091,0.123757,-0.028648,0.227991,-1.175036,0.121046,-0.700777,0.225836,-0.713583,0.220856,-1.385712,0.218611
H3N2,2018,south,3C.2a3,0.17981,-0.637815,0.185437,-0.067106,0.231254,-2.029036,0.037082,-0.691594,0.235998,-2.66685,0.038014,-2.670251,0.037527,-3.308066,0.038442
H3N2,2018,south,3C.3a,0.049286,-0.756421,0.045144,-1.925927,0.009879,-2.3572,0.007321,-2.698754,0.008692,-3.113621,0.006665,-3.086341,0.006785,-3.842762,0.006173
H3N2,2019,north,3C.2a1,0.033562,-0.660489,0.034923,-2.059256,0.00853,-0.488692,0.041456,-2.716184,0.008713,-1.149181,0.041964,-1.31822,0.036777,-1.978709,0.037258
H3N2,2019,north,3C.2a1b.1,0.369184,-0.667867,0.381328,-0.021926,0.719666,-1.209909,0.221696,-0.687024,0.729104,-1.877776,0.222762,-1.681018,0.281452,-2.348884,0.283042
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.756589,0.007931,-0.224148,0.013361,-0.967334,0.006422,-0.98802,0.012264,-1.723923,0.005905,-1.572629,0.007129,-2.329218,0.006561
H3N2,2019,north,3C.2a1b.2,0.292906,-0.655434,0.306326,-1.802553,0.096228,-0.016083,0.580385,-2.453888,0.098841,-0.671517,0.590472,-0.823226,0.526531,-1.47866,0.53613
H3N2,2019,north,3C.2a2,0.135774,-0.686454,0.137658,-3.439986,0.008675,-2.35342,0.025984,-4.1257,0.008609,-3.039874,0.025629,-3.299309,0.020519,-3.985763,0.020255
H3N2,2019,north,3C.2a3,0.021358,-0.655807,0.022328,-0.156874,0.036378,-1.20843,0.012844,-0.808621,0.03735,-1.864237,0.013063,-1.790356,0.014596,-2.446162,0.014856
H3N2,2019,north,3C.3a1,0.11823,-0.776885,0.109506,-0.698493,0.117162,-0.761107,0.111213,-1.485081,0.10512,-1.537992,0.100206,-1.454965,0.112996,-2.231851,0.101898
H3N2,2019,south,3C.2a1,0.028986,-0.669513,0.029821,-1.394487,0.009053,-1.956275,0.005101,-2.061409,0.00904,-3.024064,0.003393,-2.726123,0.00376,-3.395636,0.003749
H3N2,2019,south,3C.2a1b.1,0.155518,-0.688035,0.157062,-1.001863,0.071928,-0.650992,0.100953,-1.689332,0.070363,-1.328778,0.099192,-1.381082,0.077439,-2.069117,0.075783
H3N2,2019,south,3C.2a1b.2,0.010591,-0.695684,0.010615,-1.079542,0.004532,-1.059242,0.004571,-1.775509,0.004396,-1.861182,0.003966,-1.797664,0.003477,-2.493348,0.003377
H3N2,2019,south,3C.2a2,0.695095,-0.660373,0.721685,-0.008336,0.868246,-0.021295,0.846946,-0.665136,0.87581,-0.668583,0.857942,-0.445576,0.882084,-1.105949,0.887428
H3N2,2019,south,3C.2a3,0.017837,-0.656698,0.018588,-2.606525,0.001658,-1.495539,0.004976,-3.259259,0.001679,-2.401002,0.003894,-2.3715,0.003299,-3.028198,0.003331
H3N2,2019,south,3C.3a1,0.068562,-0.794822,0.062229,-0.66113,0.044584,-0.823516,0.037454,-1.467826,0.038712,-1.653265,0.031612,-1.512333,0.029941,-2.307155,0.026333
H3N2,2020,north,3C.2a1b.1,0.038557,-0.659773,0.040133,-3.93136,0.00115,-2.990509,0.002936,-4.591134,0.001179,-3.650283,0.003078,-3.978048,0.001982,-4.637822,0.002068
H3N2,2020,north,3C.2a1b.1a,0.045477,-0.755963,0.042995,-0.984184,0.025844,-0.963365,0.026292,-1.740148,0.024068,-1.719329,0.025034,-1.691517,0.023004,-2.44748,0.021797
H3N2,2020,north,3C.2a1b.1b,0.152249,-0.689364,0.153852,-0.469477,0.144765,-0.452535,0.146704,-1.15884,0.1441,-1.141899,0.149303,-1.112116,0.137468,-1.80148,0.139226
H3N2,2020,north,3C.2a1b.2,0.052892,-0.658586,0.055119,-1.677709,0.015023,-1.507988,0.017738,-2.336295,0.015422,-2.166574,0.018616,-2.303998,0.014501,-2.962584,0.015146
H3N2,2020,north,3C.2a1b.2a,0.175482,-0.656285,0.183293,-0.203385,0.217723,-1.086752,0.089678,-0.85967,0.224012,-1.743037,0.094335,-1.685537,0.089299,-2.341822,0.093482
H3N2,2020,north,3C.2a1b.2b,0.291152,-0.662532,0.302218,-0.015636,0.435843,-0.183974,0.36698,-0.678168,0.445639,-0.846506,0.383636,-0.638231,0.422252,-1.300763,0.439281
H3N2,2020,north,3C.3a1,0.240237,-0.777022,0.222391,-0.827714,0.15965,-0.040067,0.349672,-1.604736,0.14558,-0.817089,0.325999,-0.750234,0.311494,-1.527256,0.289001
H3N2,2020,south,3C.2a1b.1,0.139527,-0.712489,0.138705,-1.275721,0.135709,-0.851561,0.082307,-1.990382,0.136452,-1.56405,0.079108,-1.609925,0.089178,-2.322414,0.086069
H3N2,2020,south,3C.2a1b.1b,0.037857,-0.618476,0.041344,-2.106323,0.016046,-1.124852,0.016992,-2.716873,0.017905,-1.743328,0.017941,-1.958428,0.017077,-2.576903,0.018106
H3N2,2020,south,3C.2a1b.2,0.1592,-0.708302,0.158925,-0.136181,0.483936,-0.531771,0.129301,-0.846181,0.48886,-1.240073,0.124798,-1.104802,0.168622,-1.813105,0.163426
H3N2,2020,south,3C.2a1b.2b,0.114895,-0.75784,0.109153,-0.349115,0.282274,-0.766878,0.073766,-1.114385,0.269813,-1.524718,0.067756,-1.403535,0.090268,-2.161375,0.083258
H3N2,2020,south,3C.3a,0.004298,-0.713321,0.004269,-0.03355,0.014478,-2.73323,0.000386,-0.749138,0.014544,-3.446552,0.000371,-3.226329,0.000546,-3.939651,0.000526
H3N2,2020,south,3C.3a1,0.519921,-0.6547,0.547604,-3.288682,0.067557,-0.030286,0.697249,-3.939205,0.072426,-0.684986,0.710025,-0.963445,0.634309,-1.618144,0.648614
H3N2,2021,north,3C.2a1b.2a.1a,0.297101,-0.693147,1.0,-0.693147,1.0,-0.693147,1.0,-1.386294,1.0,-1.386294,1.0,-1.386294,1.0,-2.079442,1.0
H3N2,2021,south,3C.2a1b.1a,0.181626,-0.772299,0.173911,-0.619567,0.201579,-0.382289,0.180997,-1.391866,0.187358,-1.154589,0.169682,-0.852592,0.232347,-1.624891,0.218253
H3N2,2021,south,3C.2a1b.1b,0.18057,-0.61714,0.20192,-0.652838,0.193849,-1.045646,0.092693,-1.269977,0.210415,-1.662786,0.101484,-1.610987,0.108203,-2.228126,0.118699
H3N2,2021,south,3C.2a1b.2a,0.025343,-0.681433,0.026575,-0.729866,0.02519,-1.921683,0.005418,-1.411299,0.02564,-2.603115,0.005562,-2.742269,0.004899,-3.423702,0.00504
H3N2,2021,south,3C.2a1b.2a.1,0.012672,-0.686166,0.013225,-0.691518,0.013087,-2.159956,0.002134,-1.377684,0.013258,-2.846122,0.002181,-2.847684,0.002205,-3.533849,0.002257
H3N2,2021,south,3C.2a1b.2b,0.145723,-0.703357,0.149492,-0.745734,0.142562,-0.587279,0.118303,-1.449091,0.141962,-1.290636,0.118823,-1.46587,0.100959,-2.169227,0.101604
H3N2,2021,south,3C.3a1,0.424498,-0.704733,0.434878,-0.725607,0.423732,-0.032036,0.600456,-1.430339,0.421368,-0.736769,0.602268,-0.837341,0.551388,-1.542073,0.554147
H3N2,2022,north,3C.2a1b.1a,0.005616,-0.667406,0.006059,-0.733526,0.005472,-2.371487,0.000681,-1.400932,0.005697,-3.038893,0.000709,-3.205304,0.000539,-3.94667,0.000502
H3N2,2022,north,3C.2a1b.2a.2a,0.019509,-0.636225,0.021714,-0.672571,0.020202,-2.112926,0.003064,-1.308796,0.021701,-2.74915,0.00329,-2.739166,0.002986,-3.337619,0.003209
H3N2,2022,north,3C.2a1b.2a.2a.1,0.076559,-0.652627,0.083826,-0.62938,0.082778,-0.214955,0.08023,-1.282007,0.087472,-0.867582,0.084744,-0.712267,0.088955,-1.280028,0.098578
H3N2,2022,north,3C.2a1b.2a.2a.1a,0.401123,-0.746249,0.399943,-0.639302,0.429425,-0.069268,0.486282,-1.385551,0.413218,-0.815517,0.467733,-0.594765,0.52418,-1.275695,0.51873
H3N2,2022,north,3C.2a1b.2a.2a.2,0.104345,-0.738763,0.10482,-0.734626,0.101551,-0.789291,0.061572,-1.473389,0.098452,-1.528055,0.059668,-1.627099,0.048567,-2.450172,0.041693
H3N2,2022,north,3C.2a1b.2a.2a.3,0.317765,-0.663421,0.34419,-0.692304,0.322625,-0.140262,0.358826,-1.355724,0.337257,-0.803682,0.374944,-0.8306,0.32801,-1.489373,0.331873
