subtype,hemisphere,year,clade_single,fit_total_escape,fit_predicted_prevalence,fit_mutual_information,fit_dissimilarity_charge_hydro,fit_accessibility_wcn,fit_fitness_eve,fit_antigenic_novelty
H3N2,north,2013,3C.2,0.0056605263157894995,0.08965,0.5555555555555556,6.3710259,1.2571097,16.511687000000002,0.0
H3N2,north,2013,3C.3a,-0.0370694444444444,0.2932,0.9090909090909092,6.1583995,2.3182897,28.107756700000003,0.0
H3N2,north,2014,3C.3a,-0.2336840855572997,0.16015,0.0920937056834195,3.3580429,1.9164546999999996,21.8399664,12.372027571602702
H3N2,north,2015,3C.2,-0.0090079831932773,0.119,1.0,6.0662825,0.8431445000000002,11.909424,41.09909230470708
H3N2,north,2015,3C.3a,-0.3025967275518965,0.13675,0.3142592406953305,15.205802599999998,5.0595322000000005,84.57660010000002,44.20701121371136
H3N2,north,2016,3C.2,-0.0140061224489795,0.06415,0.9615384615384616,5.0898424,2.0581064,30.912476600000005,44.27162947946893
H3N2,north,2016,3C.2a,-0.0299805555555555,0.2083,0.9803921568627452,2.621107,0.9826647000000002,9.482239,73.99774635548287
H3N2,north,2017,3C.2,-0.0562603536519869,0.10442,0.1193136337194787,9.9083183,4.040142899999998,48.1291197,49.51990982772063
H3N2,north,2017,3C.2a,0.0155678571428571,0.07,0.9565217391304348,1.2712145,1.3654907999999997,14.3296204,45.38683330150703
H3N2,north,2017,3C.2a1,-0.1153846417514375,0.3345,0.0493011650991097,8.3607529,2.568763399999999,32.1198425,78.26140741183133
H3N2,north,2017,3C.2a2,-0.0182857142857142,0.0977666666666666,0.2316380768127676,8.5584258,2.8670527999999997,31.6720581,122.96346848839788
H3N2,north,2017,3C.2a3,-0.12553159663865548,0.3465,0.1067564384471649,8.5449868,3.3970403,45.5158993,67.07581451791974
H3N2,north,2017,3C.3a,-0.3445342757102839,0.0793,0.3022353038383433,8.2770902,5.770252599999997,82.5775144,138.88060403806122
H3N2,north,2018,3C.2,0.1079578571428571,0.0408,1.0,10.0322976,3.8211385999999994,58.6019567,105.5199764207568
H3N2,north,2018,3C.2a1,0.019461155462184902,0.1479,0.085439917582269,9.7425077,2.6076789,47.96606250000001,78.75756946711303
H3N2,north,2018,3C.2a1b.1,-0.030642820386527693,0.19005,0.2155412016827839,11.345343499999998,3.3313752999999995,51.3335246,201.77380186554407
H3N2,north,2018,3C.2a2,0.0192028571428571,0.1169999999999999,1.0,5.2237907,2.4145835999999994,35.5649092,18.619412824251228
H3N2,north,2018,3C.2a3,-0.0528149159663864,0.09595,0.0600066750457346,4.7397979,1.2966139999999995,24.6989736,73.31762948032186
H3N2,north,2019,3C.2a1,-0.0014747619047619,0.0791999999999999,0.4519230769230769,1.6581058,0.349086,12.883911,37.89719261310485
H3N2,north,2019,3C.2a1b.1,-0.0261849556489262,0.2967,0.2739238525450954,8.107537268421051,3.7511275,55.41514065263158,156.68687615392855
H3N2,north,2019,3C.2a1b.1b,-0.30952215802987854,0.204575,0.3234555318350263,7.033995668421053,3.6827589,58.47834265263157,14.934370302781362
H3N2,north,2019,3C.2a1b.2,0.0155678571428571,0.0906,0.9464285714285714,4.450008,0.7568495000000002,12.9946897,100.36753608492674
H3N2,north,2019,3C.2a2,-0.0876043506493505,0.0228666666666666,0.0850798334650651,4.7582212,1.7271923000000002,40.00115889999999,18.44259224286415
H3N2,north,2019,3C.2a3,0.014309369747899202,0.2194333333333333,0.2742086306278554,7.849609768421053,3.1599676,43.30491155263157,9.695827052042112
H3N2,north,2019,3C.3a1,-0.3711345107709749,0.1517571428571428,0.3717615520934111,9.0508729,6.565690600000001,102.39608579999998,152.3173503056524
H3N2,north,2020,3C.2a1b.1,-0.0139014705882352,0.065,0.0651102855103799,3.8002045,1.6504209000000003,27.43341,28.44738575359265
H3N2,north,2020,3C.2a1b.1a,-0.44328562306501534,0.1989714285714285,0.2887516768307244,16.0717023,5.304113900000002,86.7803937,101.51812923599212
H3N2,north,2020,3C.2a1b.1b,-0.1503461799719888,0.2395499999999999,0.3835217307977925,12.703690299999998,5.403167400000001,79.5494674,147.2676241945275
H3N2,north,2020,3C.2a1b.2,-0.0083367499999999,0.1613,0.2181818181818181,0.7922060999999998,0.8431085000000003,10.541809,6.135106389156204
H3N2,north,2020,3C.2a1b.2a,0.0024657699443414007,0.2781,0.2712180329730712,6.439735,2.3801389000000004,29.919920999999995,209.55528998138809
H3N2,north,2020,3C.2a1b.2b,-0.0268001594387755,0.3830999999999999,0.4783482226540899,9.2032447,2.847532100000001,46.8464041,391.1532674102015
H3N2,north,2020,3C.3a1,-0.5322688928571429,0.20935,0.6238064539266744,19.8300755,8.708556300000001,126.8851598,339.49663673712234
H3N2,north,2021,3C.2a1b.2a.1a,-0.0986217049977885,0.2454,0.3561978979675729,2.9527281,1.5887160000000002,27.295470700000003,0.7092633855594577
H3N2,north,2022,3C.2a1b.1a,-0.0246354910714285,0.0838,0.0108108108108108,0.2026573999999998,0.9674226,8.575194999999999,8.07198454840299
H3N2,north,2022,3C.2a1b.2a.2a,0.0035494047619047,0.2951999999999999,0.0482758620689655,1.4554484,0.6933625999999997,16.9798887,40.024408641824174
H3N2,north,2022,3C.2a1b.2a.2a.1,-0.011395714285714299,0.45325,0.4899719945049731,4.6661043,1.3133612999999995,20.1600643,215.90854799180516
H3N2,north,2022,3C.2a1b.2a.2a.1a,-0.09202144525117731,0.416275,0.646223643691226,5.6978145,3.0091139999999994,41.19903479999999,1429.5199205613274
H3N2,north,2022,3C.2a1b.2a.2a.2,-0.085839325105042,0.0801,0.2813225474321142,2.1002673,1.7916690999999996,31.5188287,316.91075688949394
H3N2,north,2022,3C.2a1b.2a.2a.3,-0.0210860863095238,0.2253666666666666,0.5502158917753022,2.6713926,3.157009699999999,45.1304617,959.2073147900855
H3N2,north,2022,3C.2a1b.2a.2c,-0.0990630952380952,0.0029,0.1090368797848036,2.3581949,0.5178028999999995,18.6251219,74.34663208535125
H3N2,north,2023,3C.2a1b.1a,-0.0139014705882352,0.09545,0.0006589572697746,3.8002045,1.6480892,29.931428,7.08939330812617
H3N2,north,2023,3C.2a1b.2a.1a,-0.1963020621406456,0.10776,0.1041503781145025,9.1529588,3.8701736,74.93457269999999,45.063092574168536
H3N2,north,2023,3C.2a1b.2a.2a.1,-0.027573809523809403,0.1424,0.0169184407604842,0.9027464999999996,1.5581793,25.098755999999995,50.88094745807553
H3N2,north,2023,3C.2a1b.2a.2a.1b,-0.0553632653061224,0.2794,0.9809941520467836,1.2712145,0.2837129999999999,13.1742864,777.100672128194
H3N2,north,2023,3C.2a1b.2a.2a.3,0.1030643697478992,0.099,0.0126986561221462,4.1502491,1.7069264,29.4858408,41.32366901654691
