subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2018,south,3C.2a1,0.4293,-0.208475,0.571643,-0.035008,0.570135,-0.134541,0.58868,-0.837152,0.590893,-0.849693,0.577476,-0.763218,0.603257,-1.414673,0.605652
H3N2,2018,south,3C.2a1b.1,0.050986,-2.391288,0.007653,-0.543601,0.040718,-0.479497,0.049517,-3.077947,0.007465,-1.269795,0.045058,-1.166156,0.047885,-1.993329,0.040328
H3N2,2018,south,3C.2a2,0.149558,-0.127721,0.215896,-0.508091,0.123757,-0.028648,0.227991,-0.812656,0.210958,-0.701855,0.233232,-0.713583,0.220856,-1.350334,0.225016
H3N2,2018,south,3C.2a3,0.17981,-2.220926,0.032002,-0.067106,0.231254,-2.029036,0.037082,-2.862141,0.032668,-2.457168,0.04847,-2.670251,0.037527,-3.102901,0.046891
H3N2,2018,south,3C.3a,0.049286,-0.208475,0.065628,-1.925927,0.009879,-2.3572,0.007321,-0.937615,0.061354,-2.615553,0.01134,-3.086341,0.006785,-3.346205,0.010077
H3N2,2019,north,3C.2a1,0.033562,-1.453612,0.023072,-2.059256,0.00853,-0.488692,0.041456,-2.185955,0.02197,-1.211965,0.040792,-1.31822,0.036777,-2.005552,0.037585
H3N2,2019,north,3C.2a1b.1,0.369184,-1.286391,0.299989,-0.021926,0.719666,-1.209909,0.221696,-1.906255,0.319663,-1.927423,0.219405,-1.681018,0.281452,-2.496334,0.253081
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.13347,0.021595,-0.224148,0.013361,-0.967334,0.006422,-0.799373,0.021976,-1.613004,0.006829,-1.572629,0.007129,-2.222087,0.007567
H3N2,2019,north,3C.2a1b.2,0.292906,-1.430247,0.206118,-1.802553,0.096228,-0.016083,0.580385,-2.156368,0.197495,-0.738568,0.571539,-0.823226,0.526531,-1.518737,0.533717
H3N2,2019,north,3C.2a2,0.135774,-1.434976,0.095093,-3.439986,0.008675,-2.35342,0.025984,-2.198591,0.087762,-3.076065,0.025584,-3.299309,0.020519,-3.934902,0.022084
H3N2,2019,north,3C.2a3,0.021358,-1.453612,0.014682,-0.156874,0.036378,-1.20843,0.012844,-2.111931,0.015055,-1.931703,0.012639,-1.790356,0.014596,-2.577021,0.013506
H3N2,2019,north,3C.3a1,0.11823,-0.024153,0.339449,-0.698493,0.117162,-0.761107,0.111213,-0.717513,0.33608,-1.365771,0.123213,-1.454965,0.112996,-2.005101,0.13246
H3N2,2019,south,3C.2a1,0.028986,-0.720013,0.04275,-1.394487,0.009053,-1.956275,0.005101,-1.435596,0.039629,-2.650748,0.005189,-2.726123,0.00376,-3.382449,0.004472
H3N2,2019,south,3C.2a1b.1,0.155518,-1.324909,0.125266,-1.001863,0.071928,-0.650992,0.100953,-2.029001,0.117463,-1.369859,0.100225,-1.381082,0.077439,-2.098818,0.086618
H3N2,2019,south,3C.2a1b.2,0.010591,-1.324909,0.008531,-1.079542,0.004532,-1.059242,0.004571,-2.031433,0.00798,-1.778109,0.004538,-1.797664,0.003477,-2.511153,0.003906
H3N2,2019,south,3C.2a2,0.695095,-1.247335,0.605042,-0.008336,0.868246,-0.021295,0.846946,-1.849391,0.628303,-0.737417,0.843145,-0.445576,0.882084,-1.299391,0.861104
H3N2,2019,south,3C.2a3,0.017837,-1.324909,0.014367,-2.606525,0.001658,-1.495539,0.004976,-2.069933,0.012932,-2.214406,0.00494,-2.3715,0.003299,-3.012939,0.003982
H3N2,2019,south,3C.3a1,0.068562,-0.017982,0.204045,-0.66113,0.044584,-0.823516,0.037454,-0.709828,0.193693,-1.421443,0.041964,-1.512333,0.029941,-2.054474,0.039918
H3N2,2020,north,3C.2a1b.1,0.038557,-1.779934,0.012973,-3.93136,0.00115,-2.990509,0.002936,-2.55437,0.011832,-3.825403,0.002393,-3.978048,0.001982,-4.58434,0.002203
H3N2,2020,north,3C.2a1b.1a,0.045477,-0.258112,0.070088,-0.984184,0.025844,-0.963365,0.026292,-0.961636,0.068621,-1.559815,0.027194,-1.691517,0.023004,-2.317372,0.02507
H3N2,2020,north,3C.2a1b.1b,0.152249,-0.232699,0.24068,-0.469477,0.144765,-0.452535,0.146704,-0.915654,0.240541,-1.040281,0.153064,-1.112116,0.137468,-1.767649,0.145435
