predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x	south	2013	2012-09-01	12.696982383728027	16.67378044128418	1.5093624591827393	7.029871225357056	250
ep_x	south	2014	2013-09-01	4.558016300201416	22.117616653442383	1.2792418003082275	6.653228759765625	252
ep_x	south	2015	2014-09-01	7.709789276123047	6.742931842803955	1.3398475646972656	5.979427993297577	251
ep_x	south	2016	2015-09-01	8.808987617492676	4.428267955780029	2.0399227142333984	6.287608003616333	224
ep_x	south	2017	2016-09-01	5.812976360321045	6.1481781005859375	1.8321000337600708	6.55070702234904	293
ep_x	south	2018	2017-09-01	5.263179779052734	5.12608003616333	1.649245262145996	6.445328031267438	335
ep_x	south	2019	2018-09-01	9.054790496826172	9.473979949951172	2.926644802093506	6.310309827327728	235
ep_x	south	2020	2019-09-01	5.665064811706543	3.9090120792388916	1.2356590032577515	6.6214638815985785	326
ep_x	south	2021	2020-09-01	20.4908504486084	35.7303581237793	7.155646800994873	6.53760290145874	254
ep_x	south	2022	2021-09-01	12.019350051879883	7.1116838455200195	3.2969682216644287	7.688779050653631	189
ep_x	south	2023	2022-09-01	10.752108573913574	7.0933380126953125	1.328515887260437	8.071654518445333	377
ep_x	south	2024	2023-09-01	7.780188083648682	5.952847480773926	1.4991406202316284	8.273712158203125	367
