predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
oracle_x	north	2013	2013-02-01	20.438932418823242	20.622169494628906	1.5338447093963623	11.032840251922607	280
oracle_x	north	2014	2014-02-01	4.995484352111816	4.926414489746094	1.4762194156646729	14.243376096089682	238
oracle_x	north	2015	2015-02-01	4.681694984436035	4.7815752029418945	1.6711385250091553	11.90842080116272	282
oracle_x	north	2016	2016-02-01	5.5243988037109375	5.44045352935791	3.1794910430908203	10.476569843292236	346
oracle_x	north	2017	2017-02-01	4.804233551025391	4.738064765930176	2.5845072269439697	9.66013248761495	348
oracle_x	north	2018	2018-02-01	4.347975730895996	4.576595306396484	1.9351741075515747	8.959424359457833	324
oracle_x	north	2019	2019-02-01	7.3783650398254395	7.3432207107543945	2.4808132648468018	8.376262962818146	315
oracle_x	north	2020	2020-02-01	28.935138702392578	29.027301788330078	25.403484344482422	8.268420007493761	375
oracle_x	north	2021	2021-02-01	9.168499946594238	9.024409294128418	4.031442165374756	10.368033647537231	134
oracle_x	north	2022	2022-02-01	7.2107462882995605	7.1721367835998535	3.4737846851348877	10.249366240067916	259
oracle_x	north	2023	2023-02-01	6.814378261566162	6.940134048461914	1.6655232906341553	9.998337666193644	342
oracle_x	north	2024	2024-02-01	4.252682685852051	4.203873634338379	1.8197375535964966	9.755778129284199	395
