subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2018,south,3C.2a1,0.4293,-0.419946,0.521882,-0.035008,0.570135,-0.134541,0.58868,-0.744131,0.572993,-0.869447,0.572653,-0.763218,0.603257,-1.491235,0.588813
H3N2,2018,south,3C.2a1b.1,0.050986,-3.069224,0.004382,-0.543601,0.040718,-0.479497,0.049517,-1.342954,0.037391,-1.289159,0.044699,-1.166156,0.047885,-1.975099,0.043105
H3N2,2018,south,3C.2a2,0.149558,-0.317747,0.201375,-0.508091,0.123757,-0.028648,0.227991,-1.210624,0.1252,-0.726165,0.230233,-0.713583,0.220856,-1.410191,0.222445
H3N2,2018,south,3C.2a3,0.17981,-1.600169,0.067152,-0.067106,0.231254,-2.029036,0.037082,-0.839951,0.218066,-2.438089,0.049968,-2.670251,0.037527,-3.073709,0.050672
H3N2,2018,south,3C.3a,0.049286,-0.044018,0.087257,-1.925927,0.009879,-2.3572,0.007321,-2.25087,0.01458,-2.576908,0.011921,-3.086341,0.006785,-3.310125,0.010965
H3N2,2019,north,3C.2a1,0.033562,-1.904375,0.014712,-2.059256,0.00853,-0.488692,0.041456,-2.636718,0.013837,-1.226367,0.040468,-1.31822,0.036777,-2.020269,0.03698
H3N2,2019,north,3C.2a1b.1,0.369184,-1.030219,0.387883,-0.021926,0.719666,-1.209909,0.221696,-1.650083,0.408253,-1.917883,0.222935,-1.681018,0.281452,-2.438602,0.267723
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.177482,0.020682,-0.224148,0.013361,-0.967334,0.006422,-0.843385,0.020788,-1.620349,0.006822,-1.572629,0.007129,-2.246815,0.007371
H3N2,2019,north,3C.2a1b.2,0.292906,-1.827981,0.138587,-1.802553,0.096228,-0.016083,0.580385,-2.554102,0.131161,-0.751402,0.567884,-0.823226,0.526531,-1.528954,0.527504
H3N2,2019,north,3C.2a2,0.135774,-1.90287,0.059606,-3.439986,0.008675,-2.35342,0.025984,-2.666485,0.054336,-3.091048,0.025366,-3.299309,0.020519,-3.969009,0.021311
H3N2,2019,north,3C.2a3,0.021358,-0.415675,0.041487,-0.156874,0.036378,-1.20843,0.012844,-1.073994,0.042018,-1.885144,0.013326,-1.790356,0.014596,-2.493572,0.01466
H3N2,2019,north,3C.3a1,0.11823,-0.032053,0.337043,-0.698493,0.117162,-0.761107,0.111213,-0.725413,0.329606,-1.372306,0.123198,-1.454965,0.112996,-2.065987,0.12445
