subtype,year,hemisphere,clade,freq_prev,E_pre_fit,E_pre_freq,G_pre_fit,G_pre_freq,D_pre_fit,D_pre_freq,E+G_pre_fit,E+G_pre_freq,E+D_pre_fit,E+D_pre_freq,G+D_pre_fit,G+D_pre_freq,E+G+D_pre_fit,E+G+D_pre_freq
H3N2,2018,south,3C.2a1,0.4293,-0.659253,0.439963,-0.035008,0.570135,-0.134541,0.58868,-0.694262,0.577774,-0.790102,0.60371,-0.763218,0.603257,-1.347584,0.641734
H3N2,2018,south,3C.2a1b.1,0.050986,-0.753219,0.047566,-0.543601,0.040718,-0.479497,0.049517,-1.29682,0.037563,-1.239601,0.045741,-1.166156,0.047885,-2.013068,0.039177
H3N2,2018,south,3C.2a2,0.149558,-0.731587,0.142578,-0.508091,0.123757,-0.028648,0.227991,-1.239679,0.116664,-0.764594,0.215752,-0.713583,0.220856,-1.501994,0.191578
H3N2,2018,south,3C.2a3,0.17981,-0.66186,0.183796,-0.067106,0.231254,-2.029036,0.037082,-0.728967,0.233743,-2.687482,0.037919,-2.670251,0.037527,-3.265685,0.039481
H3N2,2018,south,3C.3a,0.049286,-0.624248,0.05231,-1.925927,0.009879,-2.3572,0.007321,-2.550175,0.010368,-2.974107,0.007804,-3.086341,0.006785,-3.632542,0.007499
H3N2,2019,north,3C.2a1,0.033562,-0.73827,0.033093,-2.059256,0.00853,-0.488692,0.041456,-2.797526,0.008254,-1.226962,0.039945,-1.31822,0.036777,-2.020864,0.036568
H3N2,2019,north,3C.2a1b.1,0.369184,-0.721037,0.370349,-0.021926,0.719666,-1.209909,0.221696,-0.742963,0.708474,-1.930946,0.217331,-1.681018,0.281452,-2.451666,0.261457
H3N2,2019,north,3C.2a1b.1b,0.008391,-0.63763,0.009149,-0.224148,0.013361,-0.967334,0.006422,-0.861779,0.014298,-1.604964,0.006843,-1.572629,0.007129,-2.23143,0.007406
H3N2,2019,north,3C.2a1b.2,0.292906,-0.708387,0.297571,-1.802553,0.096228,-0.016083,0.580385,-2.51094,0.095937,-0.72447,0.576201,-0.823226,0.526531,-1.502022,0.53618
H3N2,2019,north,3C.2a2,0.135774,-0.721917,0.136083,-3.439986,0.008675,-2.35342,0.025984,-4.161903,0.008532,-3.075336,0.02545,-3.299309,0.020519,-3.953297,0.02142
H3N2,2019,north,3C.2a3,0.021358,-0.720694,0.021433,-0.156874,0.036378,-1.20843,0.012844,-0.877568,0.035824,-1.929124,0.012596,-1.790356,0.014596,-2.537553,0.013881
H3N2,2019,north,3C.3a1,0.11823,-0.611589,0.132322,-0.698493,0.117162,-0.761107,0.111213,-1.310082,0.128681,-1.372696,0.121634,-1.454965,0.112996,-2.066377,0.123088
H3N2,2019,south,3C.2a1,0.028986,-0.722356,0.028796,-1.394487,0.009053,-1.956275,0.005101,-2.116844,0.008786,-3.076908,0.003303,-2.726123,0.00376,-3.846756,0.002432
